candidate_id,size,topology_cohesion,weighted_internal_density,conductance,black_hole_core_strength,semantic_coherence,non_generic_go_coherence,evidence_richness,annotation_uncertainty,size_prior_score,overlap_plausibility_score,candidate_score
765,4,1.0,1.0,0.0,0.4250751437176595,0.9926378206252524,1.0,1.0,0.0,0.5661541495171976,1.0,0.6803745772122581
31,4,1.0,1.0,0.0,0.4250751437176595,0.9926378206252524,1.0,1.0,0.0,0.5661541495171976,1.0,0.6803745772122581
763,4,1.0,1.0,0.0,0.4250751437176595,0.9926378206252524,1.0,1.0,0.0,0.5661541495171976,1.0,0.6803745772122581
764,4,1.0,1.0,0.0,0.4250751437176595,0.9926378206252524,1.0,1.0,0.0,0.5661541495171976,1.0,0.6803745772122581
766,4,1.0,1.0,0.0,0.4250751437176595,0.9926378206252524,1.0,1.0,0.0,0.5661541495171976,1.0,0.6803745772122581
599,13,0.7070960047717262,0.9871794871794872,0.2837209302312385,0.5591587321142911,0.9932278855583001,1.0,1.0,0.0,0.8968300597468688,1.0,0.6758355574370417
603,15,0.705586801650653,0.9238095238095239,0.2362204724400149,0.5364182640650509,0.9563056431841878,1.0,1.0,0.0,0.9459594689067654,1.0,0.6713419880148669
895,3,1.0,1.0,0.0,0.39755423646364807,0.9890403428696269,1.0,1.0,0.0,0.5261219640934565,1.0,0.6707950328772949
896,3,1.0,1.0,0.0,0.39755423646364807,0.9890403428696269,1.0,1.0,0.0,0.5261219640934565,1.0,0.6707950328772949
897,3,1.0,1.0,0.0,0.39755423646364807,0.9890403428696269,1.0,1.0,0.0,0.5261219640934565,1.0,0.6707950328772949
898,3,1.0,1.0,0.0,0.39755423646364807,0.9890403428696269,1.0,1.0,0.0,0.5261219640934565,1.0,0.6707950328772949
440,3,1.0,1.0,0.0,0.39755423646364807,0.9890403428696269,1.0,1.0,0.0,0.5261219640934565,1.0,0.6707950328772949
615,18,0.6298239040844811,0.803921568627451,0.21656050955345046,0.5147140978741269,0.9705344858905727,1.0,1.0,0.0,0.9911505004882849,1.0,0.6594026410986021
607,15,0.5820182224524975,0.8761904761904762,0.33574007220095403,0.5184363611783943,0.9665743312418363,1.0,1.0,0.0,0.9459594689067654,1.0,0.643307979008651
911,3,0.8571428571632653,1.0,0.1428571428367347,0.3952136512861504,0.9938188584597795,1.0,1.0,0.0,0.5261219640934565,1.0,0.639875506482816
