dataset,candidate_id,source,protein_id,candidate_score,core_protein,rank_within_candidate
gavin,0,mcl,YOR341W,0.0,,0
gavin,0,mcl,YOR116C,0.0,,0
gavin,0,mcl,YJL011C,0.0,,0
gavin,0,mcl,YNL113W,0.0,,0
gavin,0,mcl,YNL248C,0.0,,0
gavin,0,mcl,YDL150W,0.0,,0
gavin,0,mcl,YJR063W,0.0,,0
gavin,0,mcl,YGL156W,0.0,,0
gavin,0,mcl,YPR190C,0.0,,0
gavin,0,mcl,YPR010C,0.0,,0
gavin,0,mcl,YOR340C,0.0,,0
gavin,0,mcl,YKR025W,0.0,,0
gavin,0,mcl,YFR028C,0.0,,0
gavin,0,mcl,YBR154C,0.0,,0
gavin,0,mcl,YOR210W,0.0,,0
gavin,0,mcl,YOR224C,0.0,,0
gavin,0,mcl,YNR003C,0.0,,0
gavin,0,mcl,YKL144C,0.0,,0
gavin,0,mcl,YPR110C,0.0,,0
gavin,0,mcl,YDR005C,0.0,,0
gavin,0,mcl,YPR032W,0.0,,0
gavin,0,mcl,YOR207C,0.0,,0
gavin,0,mcl,YDR045C,0.0,,0
gavin,0,mcl,YNL151C,0.0,,0
gavin,1,mcl,YGR063C,0.0,,0
gavin,1,mcl,YDL115C,0.0,,0
gavin,1,mcl,YDR390C,0.0,,0
gavin,1,mcl,YGR186W,0.0,,0
gavin,1,mcl,YPR187W,0.0,,0
gavin,1,mcl,YJL140W,0.0,,0
gavin,1,mcl,YOR151C,0.0,,0
gavin,1,mcl,YPR180W,0.0,,0
gavin,1,mcl,YHL021C,0.0,,0
gavin,1,mcl,YPR093C,0.0,,0
gavin,1,mcl,YIL021W,0.0,,0
gavin,1,mcl,YGL070C,0.0,,0
gavin,1,mcl,YOL005C,0.0,,0
gavin,1,mcl,YDR404C,0.0,,0
gavin,1,mcl,YDL140C,0.0,,0
gavin,1,mcl,YGR005C,0.0,,0
gavin,2,mcl,YPL129W,0.0,,0
gavin,2,mcl,YKR008W,0.0,,0
gavin,2,mcl,YML127W,0.0,,0
gavin,2,mcl,YDR073W,0.0,,0
gavin,2,mcl,YOR290C,0.0,,0
gavin,2,mcl,YJL176C,0.0,,0
gavin,2,mcl,YMR033W,0.0,,0
gavin,2,mcl,YIL126W,0.0,,0
gavin,2,mcl,YBR245C,0.0,,0
gavin,2,mcl,YPL016W,0.0,,0
gavin,2,mcl,YNR023W,0.0,,0
gavin,2,mcl,YFL049W,0.0,,0
gavin,2,mcl,YMR091C,0.0,,0
gavin,2,mcl,YHR056C,0.0,,0
gavin,2,mcl,YGR056W,0.0,,0
gavin,2,mcl,YCR052W,0.0,,0
gavin,2,mcl,YLR357W,0.0,,0
gavin,2,mcl,YLR033W,0.0,,0
gavin,2,mcl,YHL025W,0.0,,0
gavin,2,mcl,YPR034W,0.0,,0
gavin,2,mcl,YLR321C,0.0,,0
gavin,2,mcl,YDR303C,0.0,,0
gavin,2,mcl,YBR289W,0.0,,0
gavin,2,mcl,YGR275W,0.0,,0
gavin,2,mcl,YFR037C,0.0,,0
gavin,3,mcl,YLR176C,0.0,,0
gavin,3,mcl,YBR049C,0.0,,0
gavin,4,mcl,YBR072W,0.0,,0
gavin,4,mcl,YEL022W,0.0,,0
gavin,4,mcl,YJR077C,0.0,,0
gavin,4,mcl,YKL182W,0.0,,0
gavin,4,mcl,YML016C,0.0,,0
gavin,4,mcl,YPR184W,0.0,,0
gavin,5,mcl,YJR093C,0.0,,0
gavin,5,mcl,YKR002W,0.0,,0
gavin,5,mcl,YKL018W,0.0,,0
gavin,5,mcl,YLR258W,0.0,,0
gavin,5,mcl,YNL222W,0.0,,0
gavin,5,mcl,YPR107C,0.0,,0
gavin,5,mcl,YER070W,0.0,,0
gavin,5,mcl,YMR311C,0.0,,0
gavin,5,mcl,YDR195W,0.0,,0
gavin,5,mcl,YLR115W,0.0,,0
gavin,5,mcl,YKL059C,0.0,,0
gavin,5,mcl,YER133W,0.0,,0
gavin,5,mcl,YKL193C,0.0,,0
gavin,5,mcl,YAR014C,0.0,,0
gavin,5,mcl,YOR179C,0.0,,0
gavin,5,mcl,YGR156W,0.0,,0
gavin,5,mcl,YAL043C,0.0,,0
gavin,5,mcl,YDR301W,0.0,,0
gavin,5,mcl,YNL317W,0.0,,0
gavin,5,mcl,YMR061W,0.0,,0
gavin,5,mcl,YLR277C,0.0,,0
gavin,5,mcl,YLR028C,0.0,,0
gavin,6,mcl,YGL244W,0.0,,0
gavin,6,mcl,YLR418C,0.0,,0
gavin,6,mcl,YOR123C,0.0,,0
gavin,6,mcl,YGL019W,0.0,,0
gavin,6,mcl,YER103W,0.0,,0
gavin,6,mcl,YLR407W,0.0,,0
gavin,6,mcl,YIL035C,0.0,,0
gavin,6,mcl,YOR061W,0.0,,0
gavin,6,mcl,YLR223C,0.0,,0
gavin,6,mcl,YER164W,0.0,,0
gavin,6,mcl,YOL145C,0.0,,0
gavin,6,mcl,YML069W,0.0,,0
gavin,6,mcl,YOR039W,0.0,,0
gavin,6,mcl,YKL064W,0.0,,0
gavin,6,mcl,YKL088W,0.0,,0
gavin,6,mcl,YGL207W,0.0,,0
gavin,6,mcl,YMR172W,0.0,,0
gavin,6,mcl,YBR279W,0.0,,0
gavin,7,mcl,YMR047C,0.0,,0
gavin,7,mcl,YFR002W,0.0,,0
gavin,7,mcl,YJL041W,0.0,,0
gavin,7,mcl,YJL039C,0.0,,0
gavin,7,mcl,YER107C,0.0,,0
gavin,7,mcl,YIL115C,0.0,,0
gavin,7,mcl,YJL061W,0.0,,0
gavin,7,mcl,YGL172W,0.0,,0
gavin,7,mcl,YGR119C,0.0,,0
gavin,8,mcl,YBL075C,0.0,,0
gavin,8,mcl,YLR345W,0.0,,0
gavin,8,mcl,YJL155C,0.0,,0
gavin,9,mcl,YNL286W,0.0,,0
gavin,9,mcl,YIR009W,0.0,,0
gavin,9,mcl,YHR156C,0.0,,0
gavin,9,mcl,YBR065C,0.0,,0
gavin,9,mcl,YLR275W,0.0,,0
gavin,9,mcl,YJR084W,0.0,,0
gavin,9,mcl,YNL147W,0.0,,0
gavin,9,mcl,YJL124C,0.0,,0
gavin,9,mcl,YKR022C,0.0,,0
gavin,9,mcl,YHR165C,0.0,,0
gavin,9,mcl,YIL061C,0.0,,0
gavin,9,mcl,YCR077C,0.0,,0
gavin,9,mcl,YMR240C,0.0,,0
gavin,9,mcl,YPR182W,0.0,,0
gavin,9,mcl,YER172C,0.0,,0
gavin,9,mcl,YML046W,0.0,,0
gavin,9,mcl,YER146W,0.0,,0
gavin,9,mcl,YDL087C,0.0,,0
gavin,9,mcl,YPL213W,0.0,,0
gavin,9,mcl,YDL209C,0.0,,0
gavin,9,mcl,YJR050W,0.0,,0
gavin,9,mcl,YLR298C,0.0,,0
gavin,9,mcl,YER013W,0.0,,0
gavin,9,mcl,YER029C,0.0,,0
gavin,9,mcl,YDR416W,0.0,,0
gavin,9,mcl,YPR178W,0.0,,0
gavin,9,mcl,YKL173W,0.0,,0
gavin,9,mcl,YMR125W,0.0,,0
gavin,9,mcl,YGL128C,0.0,,0
gavin,9,mcl,YLL036C,0.0,,0
gavin,9,mcl,YML049C,0.0,,0
gavin,9,mcl,YLR424W,0.0,,0
gavin,9,mcl,YDR378C,0.0,,0
gavin,9,mcl,YDL160C,0.0,,0
gavin,9,mcl,YMR268C,0.0,,0
gavin,9,mcl,YDR037W,0.0,,0
gavin,9,mcl,YMR213W,0.0,,0
gavin,9,mcl,YGR013W,0.0,,0
gavin,9,mcl,YLR147C,0.0,,0
gavin,9,mcl,YKL012W,0.0,,0
gavin,9,mcl,YCR063W,0.0,,0
gavin,9,mcl,YPR101W,0.0,,0
gavin,9,mcl,YBR152W,0.0,,0
gavin,9,mcl,YLR438C,0.0,,0
gavin,9,mcl,YKL095W,0.0,,0
gavin,9,mcl,YNL256W,0.0,,0
gavin,9,mcl,YJL203W,0.0,,0
gavin,9,mcl,YGL173C,0.0,,0
gavin,9,mcl,YDR473C,0.0,,0
gavin,9,mcl,YPR082C,0.0,,0
gavin,9,mcl,YDL030W,0.0,,0
gavin,9,mcl,YBL074C,0.0,,0
gavin,9,mcl,YMR288W,0.0,,0
gavin,9,mcl,YPL178W,0.0,,0
gavin,9,mcl,YLR117C,0.0,,0
gavin,9,mcl,YGR074W,0.0,,0
gavin,9,mcl,YOR308C,0.0,,0
